"node"	"def_XML"	"def_HTML"
"ls:fr:node:26768"	"<!-- cigarette destinée à être fumée par $1 -->

<definiens>

	<df-semanteme>

		<actantpos>
		<tc id='tc1' anchor='a1' role='actant_type'><ap id='a1'>$1</ap> is un <at label='ls:fr:atlab:383' anchor='a1'>individu</at></tc>
		</actantpos>
		<assert>
			<cc id='cc'>
				<scc id='scc' dom='s1'>
					<st sense='ls:fr:node:28532' id='s1'>objet</st> destiné à être <st sense='ls:fr:node:29950'>fumé</st> par <ap coref='a1'>$1</ap>
				</scc>
			</cc>
			<pc id='pc1' anchor='scc' role='phys_spec.shape' dom='s4'>de forme <st id='s4' sem='0' actants='s1'>allongée</st></pc>
			<pc anchor='cc' role='functional_elements'>constitué d’un petit tube de papier très fin rempli de <st sense='ls:fr:node:31097'>tabac</st> haché, que <ap coref='a1'>$1</ap> fait se consumer par une de <st coref='s1'>ses</st> extrémités</pc>
			<pc anchor='cc' role='usage'>que <ap coref='a1'>$1</ap> tient entre <st coref='a1'>ses</st> <st id='s3' sense='ls:fr:node:28119' actants='a1'>lèvres</st>	<st actants='s2 s3'>ou</st> entre <st coref='a1'>ses</st> <st id='s2' sense='ls:fr:node:27166' actants='a1'>doigts</st> quand <ap coref='a1'>$1</ap> fume</pc>

		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>

	

		
		<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> is un <span style='font-family:courier;font-size:13px;'>individu</span></span></p>
		
		
			<p class='cc'>
				
					<a href='openSens/ls:fr:node:28532' style='text-decoration:none;'><span class='st'>objet</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> destiné à être <a href='openSens/ls:fr:node:29950' style='text-decoration:none;'><span class='st'>fumé</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> par <span style='font-family:courier;font-size:13px;'>$1</span>
				
			</p>
			<p class='assert_pc'>de forme <span style='font-family:courier;font-size:13px;'>allongée</span></p>
			<p class='assert_pc'>constitué d’un petit tube de papier très fin rempli de <a href='openSens/ls:fr:node:31097' style='text-decoration:none;'><span class='st'>tabac</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> haché, que <span style='font-family:courier;font-size:13px;'>$1</span> fait se consumer par une de <span style='font-family:courier;font-size:13px;'>ses</span> extrémités</p>
			<p class='assert_pc'>que <span style='font-family:courier;font-size:13px;'>$1</span> tient entre <span style='font-family:courier;font-size:13px;'>ses</span> <a href='openSens/ls:fr:node:28119' style='text-decoration:none;'><span class='st'>lèvres</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>	<span style='font-family:courier;font-size:13px;'>ou</span> entre <span style='font-family:courier;font-size:13px;'>ses</span> <a href='openSens/ls:fr:node:27166' style='text-decoration:none;'><span class='st'>doigts</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> quand <span style='font-family:courier;font-size:13px;'>$1</span> fume</p>

		
	
</body>
</html>
"
"ls:fr:node:27159"	"<!-- X=$1 divorce de Y=$2 -->

<definiens>
    <df-semanteme>
        <presup>
            <pc anchor='cc' role='relationXY'>l’<at label='ls:fr:atlab:383' anchor='a1'>individu</at> <ap id='a1'>$1</ap> <st actants='a1 a2'>et</st> l’<at label='ls:fr:atlab:383' anchor='a2'>individu</at> <ap id='a2'>$2</ap> étant <st sense='ls:fr:node:28256'>mariés</st> </pc>    
        </presup>
        <assert>
            <cc id='cc'><ap coref='a1'>$1</ap> <st sense='ls:fr:node:46105'>se sépare</st> de <ap coref='a2'>$2</ap>  </cc>
            <pc anchor='cc' role='means'>par un <st sense='ls:fr:node:30174'>divorce</st> </pc>  
        </assert>
    </df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
    
        
            <p class='presup_pc'><span style='background-color:#DCDCDC;'>l’<span style='font-family:courier;font-size:13px;'>individu</span> <span style='font-family:courier;font-size:13px;'>$1</span> <span style='font-family:courier;font-size:13px;'>et</span> l’<span style='font-family:courier;font-size:13px;'>individu</span> <span style='font-family:courier;font-size:13px;'>$2</span> étant <a href='openSens/ls:fr:node:28256' style='text-decoration:none;'><span class='st'>mariés</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> </span></p>    
        
        
            <p class='cc'><span style='font-family:courier;font-size:13px;'>$1</span> <a href='openSens/ls:fr:node:46105' style='text-decoration:none;'><span class='st'>se sépare</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>$2</span>  </p>
            <p class='assert_pc'>par un <a href='openSens/ls:fr:node:30174' style='text-decoration:none;'><span class='st'>divorce</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> </p>  
        
    
</body>
</html>
"
"ls:fr:node:27178"	"<!-- $1 dort -->

<definiens>
<df-semanteme>

<assert>

	<cc id='cc'>
	<scc id='scc' dom='st.inconscience'>
	<ac sense='ls:fr:node:43917' anchor='a1'>être animé</ac> <ap id='a1'>$1</ap> est dans un état d’<st id='st.inconscience' sense='ls:fr:node:36024' sem='2'>inconscience</st>
	</scc>	
	</cc>

	<pc id='pc1' anchor='scc' role='mode' dom='st.régulièrement'>
	qui a lieu <st id='st.régulièrement' sense='ls:fr:node:37627' sem='2'>régulièrement</st>
	</pc>

	<pc id='pc2' anchor='scc' role='role' dom='st.avoir_besoin'>
	dont <ap coref='a1'>$1</ap>  <st id='st.avoir_besoin' sense='ls:fr:node:43994' sem='2'>a besoin</st> pour <st id='st.se_reposer' sense='ls:fr:node:38033' sem='2'>se reposer</st>
	</pc>

</assert>

</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>




	<p class='cc'>
	
	<a href='openSens/ls:fr:node:43917' style='text-decoration:none;'><span class='ac'>être animé</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> est dans un état d’<a href='openSens/ls:fr:node:36024' style='text-decoration:none;'><span class='st'>inconscience</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		
	</p>

	<p class='assert_pc'>
	qui a lieu <a href='openSens/ls:fr:node:37627' style='text-decoration:none;'><span class='st'>régulièrement</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	</p>

	<p class='assert_pc'>
	dont <span style='font-family:courier;font-size:13px;'>$1</span>  <a href='openSens/ls:fr:node:43994' style='text-decoration:none;'><span class='st'>a besoin</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> pour <a href='openSens/ls:fr:node:38033' style='text-decoration:none;'><span class='st'>se reposer</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	</p>




</body>
</html>
"
"ls:fr:node:27271"	"<!-- émotion de $1 causée par $2 -->

<definiens>
<df-semanteme>

<assert>

	<cc id='cc'>
	<scc id='scc' dom='st.sentiment'><st id='st.sentiment' sense='ls:fr:node:39295' sem='2'>sentiment</st> <st id='st.soudain' sense='ls:fr:node:37950' sem='2'>soudain</st>
	de <ap id='a1'>$1</ap> causé par <ap id='a2'>$2</ap>
	</scc>	
	</cc>
	
	<pc id='pc1' anchor='scc' role='intensity' dom='st.intense'><st id='st.intense' sense='ls:fr:node:27974' sem='2'>intense</st></pc>

	<pc id='pc2' anchor='scc' role='result' dom='st.provoquer'>
	<wc>qui <st id='st.provoquer' sense='ls:fr:node:37264' sem='1'>provoque</st> une <st id='st.réaction' sense='ls:fr:node:55489' sem='2'>réaction</st> de <ap coref='a1'>$1</ap></wc>
	</pc>

</assert>

</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>




	<p class='cc'>
	<a href='openSens/ls:fr:node:39295' style='text-decoration:none;'><span class='st'>sentiment</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <a href='openSens/ls:fr:node:37950' style='text-decoration:none;'><span class='st'>soudain</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	de <span style='font-family:courier;font-size:13px;'>$1</span> causé par <span style='font-family:courier;font-size:13px;'>$2</span>
		
	</p>
	
	<p class='assert_pc'><a href='openSens/ls:fr:node:27974' style='text-decoration:none;'><span class='st'>intense</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a></p>

	<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>qui <a href='openSens/ls:fr:node:37264' style='text-decoration:none;'><span class='st'>provoque</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> une <a href='openSens/ls:fr:node:55489' style='text-decoration:none;'><span class='st'>réaction</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>$1</span><span style='font-weight:bold;'>)</span>
	</p>




</body>
</html>
"
"ls:fr:node:27370"	"<!-- $1 éprouve $2 -->

<definiens>
<df-semanteme>

<assert>

	<cc id='cc'>
	<scc id='scc' dom='st.état_psychique'>
	L’<ac sense='ls:fr:node:43917' anchor='a1'>être animé</ac> <ap id='a1'>$1</ap> est dans un <st id='st.état_psychique' sense='ls:fr:node:56899' sem='2'>état psychique</st>
	caractérisé par le fait <ap id='a2'>$2</ap> qui a lieu dans l’<st id='st.esprit' sense='ls:fr:node:38459' sem='2'>esprit</st> ou le <st id='st.corps' sense='ls:fr:node:38285' sem='0'>corps</st>
	de <ap coref='a1'>$1</ap>
	</scc>	
	</cc>


	<pc id='pc4' anchor='scc' role='result' dom='st.affecter'>
	<wc>ce qui <st id='st.affecter' sense='ls:fr:node:48560' sem='2'>affecte</st> <ap coref='a1'>$1</ap></wc>
	</pc>

</assert>

</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>




	<p class='cc'>
	
	L’<a href='openSens/ls:fr:node:43917' style='text-decoration:none;'><span class='ac'>être animé</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> est dans un <a href='openSens/ls:fr:node:56899' style='text-decoration:none;'><span class='st'>état psychique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	caractérisé par le fait <span style='font-family:courier;font-size:13px;'>$2</span> qui a lieu dans l’<a href='openSens/ls:fr:node:38459' style='text-decoration:none;'><span class='st'>esprit</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> ou le <a href='openSens/ls:fr:node:38285' style='text-decoration:none;'><span class='st'>corps</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
	de <span style='font-family:courier;font-size:13px;'>$1</span>
		
	</p>


	<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>ce qui <a href='openSens/ls:fr:node:48560' style='text-decoration:none;'><span class='st'>affecte</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span><span style='font-weight:bold;'>)</span>
	</p>




</body>
</html>
"
"ls:fr:node:27505"	"<!-- fauteuil qui sert à $1 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est un <at label='ls:fr:atlab:383' anchor='a1'>individu</at></tc>

		</actantpos>

		<assert>

			<cc id='cc'>
				<scc id='scc' dom='s1'><st id='s1' sense='ls:fr:node:29404' sem='2' actants='a1'>siège</st></scc>
			</cc>

			<pc id='pc1' anchor='scc' role='use' dom='s2'><st id='s2' sense='ls:fr:node:37748' sem='0' actants='s1 a1'>utilisable</st>
			par un <st id='s3' sense='ls:fr:node:29749' sem='0' actants='a1'>unique</st> <ap coref='a1'>$1</ap></pc>

			<pc id='pc2' anchor='scc' role='phys_spec.composition' dom='s4'>qui <st id='s4' sense='ls:fr:node:32403' sem='0' actants='s1 s5'>comporte</st>
			<st id='s8' sense='ls:fr:node:29745' sem='0' actants='s6'>un</st> <st id='s6' sense='ls:fr:node:27180' sem='2' actants='s1'>dossier</st>
			<st id='s5' sense='ls:fr:node:27402' sem='0' actants='s6 s7'>et</st> <st id='s9' sense='ls:fr:node:27110' sem='0' actants='s7'>deux</st>
			<st id='s7' sense='ls:fr:node:49166' sem='2' actants='s1'>accoudoirs</st></pc>

			<pc id='pc3' anchor='scc' role='evaluation' dom='s10'><wc>qui est <st id='s10' sense='ls:fr:node:32651' sem='2' actants='s1'>confortable</st></wc></pc>
			
		</assert>
	</df-semanteme>
</definiens>

<!-- ??? Qui est conçu pour occuper une place donnée -->"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est un <span style='font-family:courier;font-size:13px;'>individu</span></span></p>

		

		

			<p class='cc'>
				<a href='openSens/ls:fr:node:29404' style='text-decoration:none;'><span class='st'>siège</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>

			<p class='assert_pc'><a href='openSens/ls:fr:node:37748' style='text-decoration:none;'><span class='st'>utilisable</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			par un <a href='openSens/ls:fr:node:29749' style='text-decoration:none;'><span class='st'>unique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span></p>

			<p class='assert_pc'>qui <a href='openSens/ls:fr:node:32403' style='text-decoration:none;'><span class='st'>comporte</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			<a href='openSens/ls:fr:node:29745' style='text-decoration:none;'><span class='st'>un</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <a href='openSens/ls:fr:node:27180' style='text-decoration:none;'><span class='st'>dossier</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			<a href='openSens/ls:fr:node:27402' style='text-decoration:none;'><span class='st'>et</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <a href='openSens/ls:fr:node:27110' style='text-decoration:none;'><span class='st'>deux</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			<a href='openSens/ls:fr:node:49166' style='text-decoration:none;'><span class='st'>accoudoirs</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a></p>

			<p class='assert_pc'><span style='font-weight:bold;'>(</span>qui est <a href='openSens/ls:fr:node:32651' style='text-decoration:none;'><span class='st'>confortable</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a><span style='font-weight:bold;'>)</span></p>
			
		
	
</body>
</html>
"
"ls:fr:node:27559"	"<!-- À RELIER AU SENS GÉNÉRIQUE POUR LES NOMS DE FLEURS -->
<!-- fleur de $1 -->

<definiens>
<df-semanteme>

<assert>

<cc id='cc'>
	<scc id='scc' dom='s1'>
	<st id='s1' sense='ls:fr:node:28670' sem='0' actants='s2'>partie</st> de la <st id='s2' sense='ls:fr:node:28817' sem='2'>plante</st> <ap id='a1'>$1</ap>
	</scc>
</cc>

<pc id='pc1' anchor='scc' role='behavior' dom='s3'>
	qui <st id='s3' sense='ls:fr:node:35910' sem='0' actants='s1 a1'>croît</st> sur <ap coref='a1'>$1</ap>
</pc>

<pc id='pc2' anchor='scc' role='quantity' dom='s4'>
	en <st id='s4' sense='ls:fr:node:38372' sem='0' actants='s1'>nombre</st> variable pour chaque type de <ap coref='a1'>$1</ap>
</pc>

<pc id='pc3' anchor='scc' role='role' dom='s5'>
	qui <st id='s5' sense='ls:fr:node:56713' sem='0' actants='s1 s6'>permet</st> la <st id='s6' sense='ls:fr:node:38065' sem='2' actants='a1'>reproduction</st> de <ap coref='a1'>$1</ap>
</pc>

<pc id='pc4' anchor='scc' role='phys_spec.color' dom='s7'>
	<wc>qui a une <st id='s7' sense='ls:fr:node:26929' sem='2' actants='s1'>couleur</st> caractéristique</wc>
</pc>

<pc id='pc5' anchor='scc' role='phys_spec.odor' dom='s8'>
	<wc>qui a une <st id='s8' sense='ls:fr:node:28546' sem='2' actants='s1'>odeur</st> caractéristique</wc>
</pc>

<pc id='pc6' anchor='scc' role='phys_spec.size' dom='s9'>
	<wc>qui a une <st id='s9' sense='ls:fr:node:29563' sem='2' actants='s1'>taille</st> caractéristique</wc>
</pc>

<pc id='pc7' anchor='scc' role='phys_spec.shape' dom='s10'>
	<wc>qui a une <st id='s10' sense='ls:fr:node:27590' sem='2' actants='s1'>forme</st> caractéristique</wc>
</pc>

<pc id='pc8' anchor='scc' role='phys_spec.disposition' dom='s11'>
	<wc>qui a une <st id='s11' sense='ls:fr:node:34023' sem='2' actants='s1'>disposition</st> caractéristique</wc>
</pc>

</assert>

</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>




<p class='cc'>
	
	<a href='openSens/ls:fr:node:28670' style='text-decoration:none;'><span class='st'>partie</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de la <a href='openSens/ls:fr:node:28817' style='text-decoration:none;'><span class='st'>plante</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span>
	
</p>

<p class='assert_pc'>
	qui <a href='openSens/ls:fr:node:35910' style='text-decoration:none;'><span class='st'>croît</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> sur <span style='font-family:courier;font-size:13px;'>$1</span>
</p>

<p class='assert_pc'>
	en <a href='openSens/ls:fr:node:38372' style='text-decoration:none;'><span class='st'>nombre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> variable pour chaque type de <span style='font-family:courier;font-size:13px;'>$1</span>
</p>

<p class='assert_pc'>
	qui <a href='openSens/ls:fr:node:56713' style='text-decoration:none;'><span class='st'>permet</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> la <a href='openSens/ls:fr:node:38065' style='text-decoration:none;'><span class='st'>reproduction</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>$1</span>
</p>

<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>qui a une <a href='openSens/ls:fr:node:26929' style='text-decoration:none;'><span class='st'>couleur</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> caractéristique<span style='font-weight:bold;'>)</span>
</p>

<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>qui a une <a href='openSens/ls:fr:node:28546' style='text-decoration:none;'><span class='st'>odeur</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> caractéristique<span style='font-weight:bold;'>)</span>
</p>

<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>qui a une <a href='openSens/ls:fr:node:29563' style='text-decoration:none;'><span class='st'>taille</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> caractéristique<span style='font-weight:bold;'>)</span>
</p>

<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>qui a une <a href='openSens/ls:fr:node:27590' style='text-decoration:none;'><span class='st'>forme</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> caractéristique<span style='font-weight:bold;'>)</span>
</p>

<p class='assert_pc'>
	<span style='font-weight:bold;'>(</span>qui a une <a href='openSens/ls:fr:node:34023' style='text-decoration:none;'><span class='st'>disposition</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> caractéristique<span style='font-weight:bold;'>)</span>
</p>




</body>
</html>
"
"ls:fr:node:27825"	"<!-- hold-up de $1 contre $2 -->

<definiens>
	<df-semanteme>
		<presup>
			<tc id='tc1' anchor='cc' role='actant_type'><ap id='a1'>$1</ap> est un <at label='ls:fr:atlab:383' anchor='a1'>individu</at></tc>
			<tc id='tc2' anchor='cc' role='actant_spec'><ap id='a2'>$2</ap> est un <ac sense='ls:fr:node:49525' anchor='a2'>lieu public</ac></tc>
		</presup>
		<assert>
			<cc id='cc'>
				<scc id='scc'>
					<st id='s1' sense='ls:fr:node:38818' sem='2' actants='a1 a2'>attaque</st> par <ap coref='a1'>$1</ap> de <ap coref='a2'>$2</ap>
				</scc>
			</cc>
			<pc anchor='cc' role='means'><st id='s2' sense='ls:fr:node:31799' sem='0' actants='s1 s3'>au moyen</st> d’une <st id='s3' sense='ls:fr:node:26349' sem='2'>arme</st></pc>
			<pc anchor='cc' role='goal'><st id='s5' sense='ls:fr:node:53246' sem='0' actants='s1 s4'>afin</st> d’<st coref='a2'>y</st> commettre
			un <st id='s4' sense='ls:fr:node:33548' sem='2' actants='a1'>vol</st></pc>
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	
		
			<span style='font-family:courier;font-size:13px;'>$1</span> est un <span style='font-family:courier;font-size:13px;'>individu</span>
			<span style='font-family:courier;font-size:13px;'>$2</span> est un <a href='openSens/ls:fr:node:49525' style='text-decoration:none;'><span class='ac'>lieu public</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		
		
			<p class='cc'>
				
					<a href='openSens/ls:fr:node:38818' style='text-decoration:none;'><span class='st'>attaque</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> par <span style='font-family:courier;font-size:13px;'>$1</span> de <span style='font-family:courier;font-size:13px;'>$2</span>
				
			</p>
			<p class='assert_pc'><a href='openSens/ls:fr:node:31799' style='text-decoration:none;'><span class='st'>au moyen</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> d’une <a href='openSens/ls:fr:node:26349' style='text-decoration:none;'><span class='st'>arme</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a></p>
			<p class='assert_pc'><a href='openSens/ls:fr:node:53246' style='text-decoration:none;'><span class='st'>afin</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> d’<span style='font-family:courier;font-size:13px;'>y</span> commettre
			un <a href='openSens/ls:fr:node:33548' style='text-decoration:none;'><span class='st'>vol</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a></p>
		
	
</body>
</html>
"
"ls:fr:node:28140"	"<!-- $1 liquide -->

<definiens>
	<df-semanteme>

		<assert>
		
               <cc id='cc'>
				<scc id='scc' dom='s1'>

			<st id='s1' sense='ls:fr:node:28279' sem='2' actants='a1'>matière</st> <ap id='a1'>$1</ap> qui est dans un état <st id='s2' sense='ls:fr:node:55859' sem='2'>physique</st>
				
				</scc>
			</cc>

		<pc id='pc1' anchor='scc' role='phys_spec.shape'> 
		tel que <ap coref='a1'>$1</ap> a une forme indéfinie
		</pc>

		<pc id='pc2' anchor='scc' role='phys_spec.volume'> 
		tel que <ap coref='a1'>$1</ap> a un volume défini
		</pc>


		<pc id='pc3' anchor='scc' role='behavior'>
		tel que les <st id='s3' sense='ls:fr:node:55706' sem='1' actants='a1'>particules</st> de <ap coref='a1'>$1</ap> 
		sont mobiles et <st id='s4' sense='ls:fr:node:55605' sem='1' actants='s3'>interagissent</st>
		</pc>
		

	
		</assert>
	</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
               <p class='cc'>
				

			<a href='openSens/ls:fr:node:28279' style='text-decoration:none;'><span class='st'>matière</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> qui est dans un état <a href='openSens/ls:fr:node:55859' style='text-decoration:none;'><span class='st'>physique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				
				
			</p>

		<p class='assert_pc'> 
		tel que <span style='font-family:courier;font-size:13px;'>$1</span> a une forme indéfinie
		</p>

		<p class='assert_pc'> 
		tel que <span style='font-family:courier;font-size:13px;'>$1</span> a un volume défini
		</p>


		<p class='assert_pc'>
		tel que les <a href='openSens/ls:fr:node:55706' style='text-decoration:none;'><span class='st'>particules</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>$1</span> 
		sont mobiles et <a href='openSens/ls:fr:node:55605' style='text-decoration:none;'><span class='st'>interagissent</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		</p>
		

	
		
	
</body>
</html>
"
"ls:fr:node:28256"	"<!-- X=$1 est marié à Y=$2 -->

<definiens>
    <df-semanteme>
        <assert>
            <cc>
            	<scc id='scc'>
            		<co><ap id='a1'>$1</ap> </co> <st coref='a1'> qui </st>
           		<st sense='ls:fr:node:30382'> s’est marié </st> à <ap id='a2'>$2</ap>
            	</scc>
            </cc>
        </assert>
    </df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
    
        
            <p class='cc'>
            	
            		<span style='color:gray;'><span style='font-family:courier;font-size:13px;'>$1</span> </span> <span style='font-family:courier;font-size:13px;'> qui </span>
           		<a href='openSens/ls:fr:node:30382' style='text-decoration:none;'><span class='st'> s’est marié </span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> à <span style='font-family:courier;font-size:13px;'>$2</span>
            	
            </p>
        
    
</body>
</html>
"
