name,POS,lexical_function,targets,example,group_id
droit,nom,A_0,['juridique'],"...national qui vient de faire son apparition dans le droit français, est une création originale à plus d’un titre.",droit||nom||A_0
blanc,nom,A_0,['blanc'],"...Tuileries, le sang du gouverneur de Launay, le blanc des drapeaux, l’habit bleu des gardes françaises, la cocarde tricolore... Tout...",blanc||nom||A_0
ongle,nom,A_0,['ongulaire'],"Le genou sans cesse agité, les ongles rongés jusqu’au sang, le visage mangé par les grimaces, mon second frère est...",ongle||nom||A_0
critique,nom,A_0,['critique'],"Elle devançait les critiques possibles de papa, assez ronchonnot et plutôt soupe au lait.",critique||nom||A_0
corps à corps,locution nominale,A_0,['corps à corps'],Il mime les corps à corps à l’arme blanche.,corps à corps||locution nominale||A_0
caca d’oie,locution nominale,A_0,['caca d’oie'],...qui était naguère nettement plus proche du caca d’oie que des plumes de canari — avec les portes vitrées fascinantes en faux bronze...,caca d’oie||locution nominale||A_0
immeuble,nom,A_0,['immobilier'],...chez elle — un minuscule deux pièces dans un immeuble HLM où elle s’était finalement installée — et se cogna la tête contre le sol.,immeuble||nom||A_0
créer,verbe,A_0,['créateur'],"Depuis, Daniel avait créé un site de vente aux enchères en ligne qui, aux dires de Denis, marchait du...",créer||verbe||A_0
physiquement,adverbe,A_0,['physique'],"...touche tes cheveux, oui, ça les explose, c’est physiquement impossible que ça se passe autrement, en fait.",physiquement||adverbe||A_0
Grande-Bretagne,nom,A_0,['britannique'],La Grande-Bretagne qui tout au long du XIX e siècle a été le premier producteur mondial de charbon...,Grande-Bretagne||nom||A_0
tempe,nom,A_0,['temporal'],...lave la pluie est plus lisse qu’un marbre ; sa tempe creuse s’emplit d’une ombre effrayante ; les pommettes saillent et distendent...,tempe||nom||A_0
bleu,nom,A_0,['bleu'],...préférence pour les tons pastel tirant sur le bleu ou le vert.,bleu||nom||A_0
Japon,nom,A_0,"['nippon', 'japonais']","...du feu de Dieu, il vient de s’implanter au Japon... »",Japon||nom||A_0
trimestre,nom,A_0,['trimestriel'],"...souci le tenaillait. À l’école, le troisième trimestre avait été déplorable et le livret allait arriver avec sa case rectangulaire...",trimestre||nom||A_0
initialement,adverbe,A_0,['initial'],"L’avion devait initialement se poser à 17 h 30. Les retards s’accumulent. Dans un tonnerre mécanique, il...",initialement||adverbe||A_0
espace,nom,A_0,['spatial'],...n’avait cessé de savoir où il était dans l’espace et le temps.,espace||nom||A_0
Pays de Galles,locution nominale,A_0,['gallois'],"On peut aller au Pays de Galles si on aime la verdure, l’authenticité, le charme des vertes prairies et des...",Pays de Galles||locution nominale||A_0
